feature,motif,motif_alt,width,top_mean,top_max,bg_mean,diff,p,q
138,MA1803.2,VIP1,10,8.099669456481934,15.18342113494873,5.499288082122803,2.600381374359131,5.925608093093615e-07,0.0009731222444069981
140,MA2091.1,PK27109.1,8,9.358742713928223,14.198249816894531,7.384750843048096,1.973991870880127,6.357497284170677e-08,0.00019939423300353485
157,MA1815.2,GRF4,8,9.59435749053955,14.563743591308594,7.58900260925293,2.005354881286621,4.416102967752522e-07,0.0008079461111456319
171,MA2089.1,PK25870.1,7,9.954978942871094,11.830764770507812,9.141091346740723,0.8138875961303711,0.003861561883240938,0.17330741401276464
206,MA1831.2,Zm00001d031796,10,8.066089630126953,16.706886291503906,5.573489189147949,2.492600440979004,2.1264017959765624e-06,0.002075137852520745
241,MA2450.1,SPL7A,11,6.753387928009033,10.247294425964355,5.516802787780762,1.2365851402282715,0.00015829232870601118,0.025794600123145547
252,MA0581.2,LEC2,6,9.458357810974121,11.244871139526367,6.89823579788208,2.560122013092041,3.4878064525400987e-07,0.0006738442066307471
253,MA1403.1,BPC5,30,-19.097305297851562,58.6850700378418,-35.49623107910156,16.39892578125,6.168166351017135e-07,0.0009930747825137587
289,MA1800.1,TEM1,8,10.604927062988281,13.951290130615234,9.614177703857422,0.9907493591308594,0.0009089162922464311,0.07656201066533419
313,MA1815.2,GRF4,8,9.442120552062988,14.563743591308594,7.58900260925293,1.8531179428100586,1.8161859998144791e-06,0.0018664209317242413
317,MA2421.1,SBP8,8,10.335171699523926,13.670827865600586,8.524535179138184,1.8106365203857422,1.860205884440802e-05,0.007446828275841511
326,MA1403.1,BPC5,30,-18.619277954101562,23.13249969482422,-35.49623107910156,16.876953125,4.50441600685636e-10,8.367818966583161e-06
472,MA1827.2,Zm00001d044785,7,9.379353523254395,12.604789733886719,8.847419738769531,0.5319337844848633,0.0026801032945513725,0.14046114271574575
474,MA2451.1,SPL7B,15,1.5841854810714722,7.894479751586914,0.07746237516403198,1.506723165512085,0.0010219014948233962,0.08220826482340113
541,MA1797.1,RAV2,8,10.142587661743164,14.286747932434082,8.260808944702148,1.8817787170410156,0.00014411182201001793,0.024339790991044087
546,MA2434.1,SPL16A,11,6.779249668121338,10.219374656677246,5.811074733734131,0.968174934387207,0.0005973756778985262,0.0590287341294984
572,MA1173.2,MYB101,9,10.07469654083252,13.930215835571289,9.725006103515625,0.34969043731689453,0.022448161616921425,0.4373018496802875
586,MA1281.2,DOF5.1,19,16.0941219329834,26.13566017150879,13.389892578125,2.7042293548583984,1.550951765239006e-06,0.0017667681665340562
605,MA2032.2,TRB1,9,10.604290962219238,15.85854434967041,9.172778129577637,1.4315128326416016,0.001205351436510682,0.08934695270636271
651,MA0581.2,LEC2,6,8.880582809448242,11.244871139526367,6.89823579788208,1.982347011566162,7.480551721528172e-05,0.01681950748392829
659,MA1328.1,ZHD9,15,11.738797187805176,16.35496711730957,10.172255516052246,1.5665416717529297,0.00023257103748619556,0.03234377055065401
674,MA2048.2,NAC045,8,10.629940032958984,14.005046844482422,10.119330406188965,0.5106096267700195,0.015057643875479698,0.36172269165822696
683,MA1404.1,BPC1,24,13.293539047241211,40.50554656982422,3.043351650238037,10.250186920166016,1.3283838473654441e-09,1.9032989821454086e-05
712,MA2450.1,SPL7A,11,6.6042280197143555,14.337324142456055,5.516802787780762,1.0874252319335938,0.000918081495910883,0.07684503193521276
734,MA0586.3,SPL14,7,5.353969097137451,13.21015739440918,4.14926290512085,1.2047061920166016,0.0049368832260370255,0.1979507386830386
746,MA1379.1,SOL1,15,13.146183013916016,21.068851470947266,9.804354667663574,3.3418283462524414,1.6675624010531465e-06,0.0018473225681391507
