idx,name,alt,width
401,MA1197.2,CAMTA1,9
402,MA1756.2,GRF9,7
403,MA1682.2,TCX3,12
404,MA1414.2,E2FA,6
405,MA0938.3,NAC058,19
406,MA1043.2,NAC083,7
407,MA1044.2,NAC92,8
408,MA1045.2,NAC043,8
409,MA1427.3,NAC028,7
410,MA1660.2,NAC013,19
411,MA1663.3,NAC050,8
412,MA1674.3,NAC017,7
413,MA1675.2,NAC029,8
414,MA1676.3,NAC062,7
415,MA1677.2,NAC078,7
416,MA1678.3,NTL8,8
417,MA1785.2,NAC018,10
418,MA1786.2,NAC019,7
419,MA1787.2,NAC047,10
420,MA2006.2,NAC020,21
421,MA2009.2,NAC010,21
422,MA2010.2,SMB,7
423,MA2017.2,JUB1,7
424,MA2018.2,NAC69,8
425,MA2033.2,NAC038,19
426,MA2034.2,NAC057,7
427,MA2035.2,NAC075,20
428,MA2036.2,NAC076,7
429,MA2037.2,NAC096,7
430,MA2038.2,NAC103,7
431,MA2043.2,NAC004,7
432,MA2044.2,NAC007,7
433,MA2045.2,NAC031,19
434,MA2046.2,NAC035,7
435,MA2047.2,NAC037,7
436,MA2048.2,NAC045,8
437,MA2049.2,NAC053,7
438,MA2050.2,NAC101,7
439,MA2051.2,NAC68,8
440,MA2053.2,NAC105,9
441,MA0589.2,WRKY1,10
442,MA1076.3,WRKY15,8
443,MA1077.2,WRKY18,6
444,MA1078.2,WRKY2,7
445,MA1079.3,WRKY21,11
446,MA1081.3,WRKY25,8
447,MA1083.3,WRKY30,9
448,MA1085.3,WRKY40,6
449,MA1086.2,WRKY43,6
450,MA1087.3,WRKY45,10
451,MA1088.2,WRKY48,5
452,MA1089.2,WRKY57,6
453,MA1090.2,WRKY60,7
454,MA1092.2,WRKY63,6
455,MA1093.2,WRKY75,7
456,MA1094.3,WRKY8,11
457,MA1295.2,WRKY20,8
458,MA1296.2,WRKY46,10
459,MA1297.2,WRKY26,11
460,MA1298.2,WRKY29,9
461,MA1299.2,WRKY17,10
462,MA1300.2,WRKY6,8
463,MA1301.2,WRKY33,10
464,MA1302.2,WRKY65,10
465,MA1303.2,WRKY22,10
466,MA1304.2,WRKY59,10
467,MA1305.2,WRKY55,9
468,MA1306.2,WRKY11,11
469,MA1307.3,WRKY31,8
