feature,motif,motif_alt,width,top_mean,top_max,bg_mean,diff,p,q,jaspar_q,planttfdb_gene,planttfdb_family
21,MA2367.1,WIP5,13,10.014336585998535,14.316611289978027,9.234702110290527,0.7796344757080078,0.0037942531052976,0.3109304801253447,0.3109304801253447,,
94,MA2454.1,SPL8D1,10,9.805987358093262,13.804678916931152,8.837385177612305,0.968602180480957,0.0001816294534364,0.0716724068707645,0.0716724068707645,,SBP
106,MA0932.1,AHL12,8,10.468513488769531,11.512638092041016,9.531728744506836,0.9367847442626952,8.052810881054029e-05,0.0448066714038998,0.0448066714038998,,AT-hook
161,MA1732.1,E2FD,15,-1.4676669836044312,28.177122116088867,-4.073378086090088,2.605710983276367,0.0022053653374314,0.2530145980948649,0.2530145980948649,,
261,MA1695.2,ARF36,12,7.110710620880127,13.706949234008787,5.82611608505249,1.2845945358276367,0.0004434756119735,0.1184727436854129,0.1184727436854129,,
274,MA1813.2,EIL4,9,11.193940162658691,15.264053344726562,9.793634414672852,1.4003057479858398,0.0001065938267856,0.052257548017415,0.052257548017415,,
326,MA1013.1,GATA10,8,8.697185516357422,14.456294059753418,7.59990644454956,1.097279071807861,0.0050797495059669,0.3447702256748259,0.3447702256748259,,
376,MA2420.1,SBP6,8,10.116418838500977,14.824698448181152,9.02319049835205,1.0932283401489258,0.0004796236171387,0.1223116193653636,0.1223116193653636,,
433,MA2091.1,PK27109.1,8,9.018312454223633,14.198249816894531,7.384750843048096,1.633561611175537,7.398801244562492e-06,0.0109552884654055,0.0109552884654055,,
472,MA2009.2,NAC010,21,8.147063255310059,17.12051773071289,5.834794044494629,2.3122692108154297,1.4815813301538585e-05,0.0164941083054886,0.0164941083054886,,NAC
522,MA1355.2,TRB2,11,8.5299654006958,17.6061954498291,6.911930561065674,1.618034839630127,0.0054304981604218,0.3531139756978665,0.3531139756978665,,
712,MA1086.2,WRKY43,6,9.032093048095703,9.795639038085938,8.619662284851074,0.4124307632446289,0.0035452081356197,0.303713290085907,0.303713290085907,,WRKY
756,MA1403.1,BPC5,30,-20.00372886657715,58.6850700378418,-35.49623107910156,15.492502212524414,3.8255585366187006e-08,0.0005132624369963,0.0005132624369963,,BBR-BPC
793,MA1813.2,EIL4,9,10.676183700561523,15.264053344726562,9.793634414672852,0.8825492858886719,0.0136880995705723,0.4976738338898993,0.4976738338898993,,
813,MA2385.1,estExt_gwp_gw1.C_220046,4,5.966204643249512,7.108007907867432,5.376309394836426,0.5898952484130859,0.0024298278149217,0.2657624172570649,0.2657624172570649,,
860,MA1274.1,DOF3.6,21,17.347309112548828,26.164737701416016,14.466022491455078,2.88128662109375,6.124762421677588e-07,0.0027908115562927,0.0027908115562927,,Dof
870,MA1294.2,MYB62,9,9.733438491821287,13.505159378051758,8.710418701171875,1.023019790649414,0.0008877234067767,0.169554855462841,0.169554855462841,,MYB
894,MA1660.2,NAC013,19,7.774009227752685,20.371864318847656,5.716552734375,2.0574564933776855,0.0005359752685762,0.1295675949561311,0.1295675949561311,,NAC
939,MA1156.2,JKD,12,12.173412322998049,20.050884246826172,10.122178077697754,2.051234245300293,1.850189801189117e-05,0.0178016269716004,0.0178016269716004,,
963,MA2059.1,PK05432.1,6,8.884342193603516,9.457794189453123,8.579784393310547,0.3045578002929687,0.0013328084023669,0.2060648074082043,0.2060648074082043,,
976,MA1328.1,ZHD9,15,12.732386589050291,17.80039405822754,10.172255516052246,2.560131072998047,2.711684032874473e-07,0.0016832492159087,0.0016832492159087,,HD-ZIP
1027,MA0589.2,WRKY1,10,7.110640048980713,17.662870407104492,4.961027145385742,2.1496129035949707,6.883317837491632e-05,0.0402499093887222,0.0402499093887222,,WRKY
1034,MA2453.1,SPL8B,9,8.362027168273926,12.38266658782959,7.41377067565918,0.948256492614746,0.0020608403719961,0.2457742962158388,0.2457742962158388,,SBP
1061,MA1814.2,RIN,10,11.40268325805664,17.571489334106445,10.22225570678711,1.1804275512695312,0.0002859017113223,0.0935976292485583,0.0935976292485583,,
1159,MA1186.2,YAB4,11,10.86777687072754,16.002243041992188,9.886497497558594,0.9812793731689452,0.0019775067921727,0.2418111104376708,0.2418111104376708,,
1273,MA1221.1,RAP2-6,15,7.331096649169922,20.18615341186523,4.241250514984131,3.089846134185791,1.3874041542294435e-06,0.0045278122060325,0.0045278122060325,,
1457,MA1328.1,ZHD9,15,11.983031272888184,16.87906837463379,10.172255516052246,1.8107757568359375,0.0001045595563482,0.0519440092318629,0.0519440092318629,,HD-ZIP
1555,MA0590.1,LFY,19,3.258445978164673,10.381573677062988,1.7836464643478394,1.4747995138168335,0.00092245725682,0.1726925794744517,0.1726925794744517,,
1569,MA1677.2,NAC078,7,11.690439224243164,13.304373741149902,10.401788711547852,1.2886505126953125,7.897539035184309e-05,0.044461704960127,0.044461704960127,,NAC
1575,MA1054.2,ARALYDRAFT_897773,9,6.49550724029541,11.002283096313477,5.770850658416748,0.7246565818786621,0.0041623623110353,0.3215882021329596,0.3215882021329596,,
1782,MA1324.1,GATA20,8,8.795507431030273,14.51152229309082,7.161594867706299,1.6339125633239746,0.0002690020774025,0.0897858913174897,0.0897858913174897,,
1792,MA1256.2,RAP2-12,11,6.385499954223633,16.36789894104004,3.740830183029175,2.644669771194458,5.877463536307914e-06,0.009789016855299,0.009789016855299,,
1805,MA1077.2,WRKY18,6,9.787282943725586,11.098066329956056,8.692688941955566,1.0945940017700195,0.0004508182173594,0.1186204131954582,0.1186204131954582,,WRKY
1845,MA2411.1,ZmbZIP57,10,10.522156715393066,17.888229370117188,8.65365219116211,1.868504524230957,4.656946202885592e-06,0.0083307593184953,0.0083307593184953,,
1849,MA1682.2,TCX3,12,12.24761199951172,19.60305976867676,10.69643211364746,1.5511798858642578,0.0005924985161982,0.1368549192618149,0.1368549192618149,,
1869,MA1739.2,BHLH122,7,8.590058326721191,13.077798843383787,6.967076301574707,1.6229820251464844,0.0003168314869981,0.0992379878541601,0.0992379878541601,,
1885,MA1790.1,NAC073,15,10.020408630371094,15.796630859375,8.956916809082031,1.0634918212890625,0.004162669647485,0.3215882021329596,0.3215882021329596,,NAC
1926,MA2351.1,OsEIL3,8,10.800771713256836,13.65838623046875,9.16634750366211,1.6344242095947266,1.006621346277825e-06,0.0036283441063596,0.0036283441063596,,
1931,MA1324.1,GATA20,8,8.752948760986328,14.51152229309082,7.161594867706299,1.5913538932800293,0.0009686524281278,0.1758974998282562,0.1758974998282562,,
1948,MA1353.2,AT1G72740,11,11.827946662902832,18.750354766845703,7.38817834854126,4.439768314361572,1.468725088216161e-07,0.0010432267906005,0.0010432267906005,AT1G72740,MYB_related
1978,MA1681.2,SRM1,9,10.233911514282228,15.339802742004396,9.269872665405272,0.9640388488769532,0.0020181583240628,0.243692617630586,0.243692617630586,,
1989,MA1194.2,AT3G10580,14,11.20600128173828,16.59843635559082,10.032478332519531,1.17352294921875,0.0018087499774992,0.2333403416485406,0.2333403416485406,AT3G10580,MYB_related
2028,MA2031.2,AT5G04760,7,9.929365158081056,12.570441246032717,8.998562812805176,0.9308023452758788,0.0013518625637516,0.2076811763015398,0.2076811763015398,AT5G04760,MYB
2095,MA1354.1,AT4G12670,29,-11.7953519821167,52.90207290649414,-17.452245712280273,5.656893730163574,1.813198468880728e-05,0.0176567512191409,0.0176567512191409,,
2213,MA2031.2,AT5G04760,7,9.676735877990724,12.570441246032717,8.998562812805176,0.6781730651855469,0.0138915758579969,0.5003453496951918,0.5003453496951918,AT5G04760,MYB
