feature,motif,motif_alt,width,top_mean,top_max,bg_mean,diff,p,q
21,MA2367.1,WIP5,13,10.014336585998535,14.316611289978027,9.234702110290527,0.7796344757080078,0.0037942531052976847,0.3109304801253447
94,MA2454.1,SPL8D1,10,9.805987358093262,13.804678916931152,8.837385177612305,0.968602180480957,0.00018162945343647152,0.0716724068707645
106,MA0932.1,AHL12,8,10.468513488769531,11.512638092041016,9.531728744506836,0.9367847442626953,8.052810881054029e-05,0.044806671403899885
161,MA1732.1,E2FD,15,-1.4676669836044312,28.177122116088867,-4.073378086090088,2.605710983276367,0.002205365337431431,0.2530145980948649
261,MA1695.2,ARF36,12,7.110710620880127,13.706949234008789,5.82611608505249,1.2845945358276367,0.0004434756119735539,0.1184727436854129
274,MA1813.2,EIL4,9,11.193940162658691,15.264053344726562,9.793634414672852,1.4003057479858398,0.00010659382678568363,0.05225754801741507
326,MA1013.1,GATA10,8,8.697185516357422,14.456294059753418,7.5999064445495605,1.0972790718078613,0.005079749505966902,0.3447702256748259
376,MA2420.1,SBP6,8,10.116418838500977,14.824698448181152,9.02319049835205,1.0932283401489258,0.0004796236171387136,0.12231161936536361
433,MA2091.1,PK27109.1,8,9.018312454223633,14.198249816894531,7.384750843048096,1.633561611175537,7.398801244562492e-06,0.010955288465405518
472,MA2009.2,NAC010,21,8.147063255310059,17.12051773071289,5.834794044494629,2.3122692108154297,1.4815813301538583e-05,0.016494108305488604
522,MA1355.2,TRB2,11,8.5299654006958,17.6061954498291,6.911930561065674,1.618034839630127,0.005430498160421848,0.35311397569786657
712,MA1086.2,WRKY43,6,9.032093048095703,9.795639038085938,8.619662284851074,0.4124307632446289,0.0035452081356197596,0.30371329008590703
756,MA1403.1,BPC5,30,-20.00372886657715,58.6850700378418,-35.49623107910156,15.492502212524414,3.8255585366187006e-08,0.0005132624369963423
793,MA1813.2,EIL4,9,10.676183700561523,15.264053344726562,9.793634414672852,0.8825492858886719,0.013688099570572376,0.49767383388989933
813,MA2385.1,estExt_gwp_gw1.C_220046,4,5.966204643249512,7.108007907867432,5.376309394836426,0.5898952484130859,0.0024298278149217367,0.26576241725706495
860,MA1274.1,DOF3.6,21,17.347309112548828,26.164737701416016,14.466022491455078,2.88128662109375,6.124762421677588e-07,0.0027908115562927122
870,MA1294.2,MYB62,9,9.733438491821289,13.505159378051758,8.710418701171875,1.023019790649414,0.0008877234067767859,0.16955485546284102
